_ID,_VALUE,MaxStar:int,HeroStar:int[],ItemCost1:id,ItemNum1:obsint[],ItemCost2:id[],ItemNum2:obsint[],HeroCost:id[],HeroCostNum:int[],SpecialCost:id[],CharacterPopulation:obsint[],GrowthFactor:decimal[],GrowthFactor2:decimal[],StagePotentialType:string[][],StagePotentialName:loc[][],StagePotentialNum:int[][],HeroMaxLv:int[],SkillLv:int[],SkillRarity:string[],AttrUpPercentage:int[],LevelUpTalent:id,TalentLevel:int[],LevelUpSkill1:id,SkillLevel1:int[],LevelUpSkill2:id,SkillLevel2:int[],SuperEvolvePrefabPostName:int[],TalentDes:loc[][],UnlockElement:int[],NeedLvMax:int[]
,,,14,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,15,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
HERO_EVOLVE_NIGHTMARE,603,4,1,ITEM_EMBLEM_NIGHTMARE,20,None,0,None,0,None,15,1,1,None,LOC_NONE,0,20,1,Green,0,TALENT_EVIL_SKIN,1,PASSIVE_PLOIDY,0,PASSIVE_DREAM_MANIPULATION,0,0,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE#LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,2,,0,ITEM_HERO_EVOLVE_STONE,250,None,0,None,15,1.1,1.1,None,LOC_NONE,0,40,2,Blue,10,,1,,0,,0,0,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,3,,0,ITEM_HERO_EVOLVE_STONE,1250,None,0,None,15,1.21,1.2,None,LOC_NONE,0,60,2,Blue,10,,1,,1,,0,0,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UNLOCK#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,4,,0,ITEM_HERO_EVOLVE_STONE,2000,None,0,None,15,1.67,1.3,None,LOC_NONE,0,80,2,Blue,20,,1,,1,,1,0,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UNLOCK#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,5,,0,ITEM_HERO_EVOLVE_STONE,4000,None,0,HERO_EVOLVE_COST_5,15,1.92,1.4,None,LOC_NONE,0,120,2,Blue,20,,2,,1,,1,1,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE#LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,6,,0,ITEM_HERO_EVOLVE_STONE,6000,None,0,HERO_EVOLVE_COST_6,15,2.3,1.5,None,LOC_NONE,0,140,2,Blue,20,,2,,2,,1,1,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,7,,0,ITEM_HERO_EVOLVE_STONE,15000,None,0,HERO_EVOLVE_COST_7,30,2.76,1.7,None,LOC_NONE,0,160,2,Blue,20,,2,,2,,2,1,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,8,,0,ITEM_HERO_EVOLVE_STONE,30000,HERO_EGGYRA_SCISSORS,3,HERO_EVOLVE_COST_8,30,3.31,1.9,None,LOC_NONE,0,180,3,Purple,20,,2,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,9,,0,ITEM_HERO_EVOLVE_STONE,50000,HERO_EGGYRA_SCISSORS,6,HERO_EVOLVE_COST_9,30,4.32,2.2,None,LOC_NONE,0,200,3,Purple,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,10,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,11,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,12,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,13,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,14,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,15,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_SCISSORS,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
HERO_EVOLVE_GOBLIN_2,604,4,1,ITEM_EMBLEM_GOBLIN_2,20,None,0,None,0,None,15,1,1,None,LOC_NONE,0,20,1,Green,0,TALENT_SHIELD_BLOCK,1,PASSIVE_SHIELD_REINFORCEMENT,0,PASSIVE_TRANSFORM_MASK,0,0,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE#LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,2,,0,ITEM_HERO_EVOLVE_STONE,250,None,0,None,15,1.1,1.1,None,LOC_NONE,0,40,2,Blue,10,,1,,0,,0,0,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,3,,0,ITEM_HERO_EVOLVE_STONE,1250,None,0,None,15,1.21,1.2,None,LOC_NONE,0,60,2,Blue,10,,1,,1,,0,0,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UNLOCK#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,4,,0,ITEM_HERO_EVOLVE_STONE,2000,None,0,None,15,1.67,1.3,None,LOC_NONE,0,80,2,Blue,20,,1,,1,,1,0,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UNLOCK#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,5,,0,ITEM_HERO_EVOLVE_STONE,4000,None,0,HERO_EVOLVE_COST_5,15,1.92,1.4,None,LOC_NONE,0,120,2,Blue,20,,2,,1,,1,1,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE#LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,6,,0,ITEM_HERO_EVOLVE_STONE,6000,None,0,HERO_EVOLVE_COST_6,15,2.3,1.5,None,LOC_NONE,0,140,2,Blue,20,,2,,2,,1,1,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,7,,0,ITEM_HERO_EVOLVE_STONE,15000,None,0,HERO_EVOLVE_COST_7,30,2.76,1.7,None,LOC_NONE,0,160,2,Blue,20,,2,,2,,2,1,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,8,,0,ITEM_HERO_EVOLVE_STONE,30000,HERO_EGGYRA_ROCK,3,HERO_EVOLVE_COST_8,30,3.31,1.9,None,LOC_NONE,0,180,3,Purple,20,,2,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,9,,0,ITEM_HERO_EVOLVE_STONE,50000,HERO_EGGYRA_ROCK,6,HERO_EVOLVE_COST_9,30,4.32,2.2,None,LOC_NONE,0,200,3,Purple,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,10,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,11,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,12,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,13,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,14,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,15,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
HERO_EVOLVE_RAYDRIC,605,4,1,ITEM_EMBLEM_RAYDRIC,20,None,0,None,0,None,15,1,1,None,LOC_NONE,0,20,1,Green,0,TALENT_LOYAL,1,PASSIVE_GHOST_BLADES,0,PASSIVE_DEVILIZED_BLADE,0,0,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE#LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,2,,0,ITEM_HERO_EVOLVE_STONE,250,None,0,None,15,1.1,1.1,None,LOC_NONE,0,40,2,Blue,10,,1,,0,,0,0,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,3,,0,ITEM_HERO_EVOLVE_STONE,1250,None,0,None,15,1.21,1.2,None,LOC_NONE,0,60,2,Blue,10,,1,,1,,0,0,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UNLOCK#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,4,,0,ITEM_HERO_EVOLVE_STONE,2000,None,0,None,15,1.67,1.3,None,LOC_NONE,0,80,2,Blue,20,,1,,1,,1,0,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UNLOCK#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,5,,0,ITEM_HERO_EVOLVE_STONE,4000,None,0,HERO_EVOLVE_COST_5,15,1.92,1.4,None,LOC_NONE,0,120,2,Blue,20,,2,,1,,1,1,LOC_MONSTER_EVOLVE_SUPER_EVOLOVE#LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,0
,,,6,,0,ITEM_HERO_EVOLVE_STONE,6000,None,0,HERO_EVOLVE_COST_6,15,2.3,1.5,None,LOC_NONE,0,140,2,Blue,20,,2,,2,,1,1,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_1_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,7,,0,ITEM_HERO_EVOLVE_STONE,15000,None,0,HERO_EVOLVE_COST_7,30,2.76,1.7,None,LOC_NONE,0,160,2,Blue,20,,2,,2,,2,1,LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_2_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,8,,0,ITEM_HERO_EVOLVE_STONE,30000,HERO_EGGYRA_ROCK,3,HERO_EVOLVE_COST_8,30,3.31,1.9,None,LOC_NONE,0,180,3,Purple,20,,2,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_PASSIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,9,,0,ITEM_HERO_EVOLVE_STONE,50000,HERO_EGGYRA_ROCK,6,HERO_EVOLVE_COST_9,30,4.32,2.2,None,LOC_NONE,0,200,3,Purple,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_TALENT_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,10,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,11,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,12,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,13,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
,,,14,,0,ITEM_HERO_EVOLVE_STONE,75000,HERO_EGGYRA_ROCK,12,HERO_EVOLVE_COST_10,30,5.2,2.5,None,LOC_NONE,0,250,4,Orange,25,,3,,3,,3,1,LOC_MONSTER_EVOLVE_ACTIVE_SKILLS_UPGRADE#LOC_MONSTER_EVOLVE_MAX_LEVEL_2,0,1
